Size,O0,O1,O2,O3,O3--ffast-math,Ofast
200,0.026106,0.016483,0.007226,0.006957,0.003732,0.003736
400,0.218618,0.137573,0.064406,0.060298,0.032210,0.032186
600,0.795712,0.497059,0.212267,0.207572,0.121550,0.135958
800,2.344229,1.293818,0.667895,0.649344,0.504110,0.477080
1000,6.570107,2.938003,1.814382,1.708658,1.406866,1.430022
1200,13.768248,5.690123,3.462283,3.226204,2.735806,2.754026
1400,23.973272,9.400341,5.781378,5.470976,4.699597,4.707028
1600,36.478815,14.589965,9.147912,8.733533,7.650483,8.057280
1800,50.203778,21.001491,13.279961,13.097770,11.619983,11.814465
2000,76.643122,28.566086,24.547496,22.695598,20.840606,20.111431
